Year;Month;Day;Hour;Min;Sec;EpicentralArea;Lat;Lon;Dep;Io;Mw;ErMw
1949;1;14;16;;;Monti Reatini;42,527;12,832;;5;4,16;0,46
1949;1;20;6;48;57;Costa croata settentrionale;44,816;14,865;;6;4,63;0,46
1949;2;3;22;29;0,27;Carnia;46,51;13,14;9;;;
1949;2;17;4;38;21;Ubaye;44,364;6,724;;5;4,36;0,26
1949;3;9;4;16;30;Mugello;43,987;11,489;;5;4,42;0,36
1949;3;22;18;45;;Ubaye;44,444;6,372;;6;4,65;0,28
1949;3;28;21;34;20;Valnerina;42,874;12,899;;4;3,7;0,46
1949;6;3;8;8;;Monti Reatini;42,515;12,856;;5;4,16;0,46
1949;6;4;22;30;;Calcata;42,216;12,424;;5;4,16;0,46
1949;6;9;6;27;;Slovenia centrale;45,87;14,17;;5;4,16;0,46
1949;6;30;6;50;;Costa croata settentrionale;44,8;14,88;;7;5,1;0,46
1949;7;22;12;21;18;Vallese;46,067;7,867;;5;3,9;0,5
1949;8;19;8;15;;Slovenia centrale;46,1;14,25;;5;4,16;0,46
1949;8;19;11;;;Slovenia centrale;46,1;14,25;;5;4,16;0,46
1949;10;8;3;8;;Sicilia sud-orientale;36,915;14,686;;7;5,1;0,13
1949;10;27;19;8;;Monti Reatini;42,532;12,805;;6-7;4,98;0,61
1949;12;6;3;46;7;Costa anconetana;43,7;13,4;;;4,38;0,22
1949;12;7;1;43;59;Slovenia occidentale;45,88;13,93;;6;4,38;0,22
1949;12;8;18;15;;Slovenia centrale;46,2;14,8;;5;4,16;0,46
1950;1;1;10;3;;Beneventano;41,159;14,948;;5;4,16;0,46
1950;2;20;1;55;12;Carnia;46,398;13,019;;5;4,2;0,19
1950;3;7;4;5;49;Monti della Laga;42,633;13,3;;4-5;4,74;0,23
1950;3;12;18;15;;Monti della Laga;42,694;13,248;;5;4,16;0,46
1950;4;1;;;;Livornese;43,392;10,463;;6;4,99;0,13
1950;4;7;4;16;50;Livornese;43,533;10,333;;;4,71;0,23
1950;4;8;8;47;;Etna - Codavolpe (S. Venerina);37,707;15,164;;7;3,75;0,34
1950;4;10;3;55;;Stretto di Messina;38,147;15,601;;4-5;3,93;0,46
1950;4;19;;;;Pignataro Maggiore;41,183;14,193;;4;3,7;0,46
1950;4;25;19;7;;Carniola interna;45,83;14,18;;5;4,16;0,46
1950;5;6;3;43;;Reggiano;44,731;10,671;;4;4,41;0,2
1950;7;18;23;52;41;Sicilia nord-orientale;38,146;15,434;;5-6;4,71;0,33
1950;9;3;22;41;20;Ascolano;42,878;13,579;;5-6;4,4;0,46
1950;9;5;4;8;;Gran Sasso;42,547;13,457;;8;5,69;0,08
1950;12;9;14;45;38;Stretto di Messina;38,131;15,505;;5-6;4,4;0,46
1951;1;12;14;55;55;Costa croata settentrionale;44,89;14,79;;5;4,16;0,46
1951;1;16;1;11;;Gargano;41,808;15,9;;7;5,22;0,11
1951;5;15;22;54;;Lodigiano;45,226;9,62;;6-7;5,17;0,08
1951;5;16;2;27;;Vallemaggia, Cevio;46,32;8,6;;5;4,3;0,5
1951;5;25;20;42;;Adriatico centrale;43,337;14,811;;4;4,55;0,45
1951;6;7;4;7;;Tirol, Barwies;47,31;10,97;;6;4,63;0,46
1951;6;10;15;38;4;Alta Carniola;46,4;14,3;;5;4,32;0,22
1951;8;2;12;50;56;Appennino umbro-reatino;42,7;13,2;;;4,44;0,22
1951;8;8;19;56;;Gran Sasso;42,466;13,461;;7;5,25;0,08
1951;8;12;21;19;;Garfagnana;44,028;10,384;;5;4,59;0,16
1951;9;1;;;;Monti Sibillini;43,029;13,288;;7;5,25;0,1
1951;10;29;22;48;;Valle del Panaro;44,458;10,989;;4;4,4;0,2
1951;11;18;4;49;;Tirol, Vent;46,86;10,92;;5;4,16;0,46
1952;1;18;1;36;;Pordenonese;45,995;12,542;;5;4,44;0,12
1952;2;23;21;56;23;Carniola interna;45,8;14,27;;6;4,61;0,18
1952;3;1;12;29;;Etna - Rocca D'Api (Zafferana E.);37,686;15,124;;6-7;3,47;0,33
1952;3;2;14;14;;Etna - Rocca D'Api (Zafferana E.);37,683;15,123;;6-7;3,47;0,33
1952;3;19;8;13;;Etna - Linera (S. Venerina);37,66;15,147;;7-8;4,03;0,36
1952;7;4;20;35;12;Appennino forlivese;43,98;11,883;;7;4,94;0,12
1952;7;4;21;30;13;Appennino forlivese;43,967;11,867;;;4,76;0,16
1952;8;22;2;25;31;Lomellina;45,105;8,846;;4;4,11;0,33
1952;9;17;0;55;;Tirol, Bruck/Ziller;47,39;11,85;;5;4,16;0,46
1952;12;2;6;13;22;Appennino forlivese;44,004;12,079;;5;4,42;0,21
1953;2;13;16;29;45;Mugello;44,363;11,525;;;;
1953;2;25;0;7;46;Vibonese;38,676;16,065;;5-6;4,88;0,2
1953;5;4;6;19;;Tirol, Solbad Hall;47,28;11,51;;5;4,16;0,46
1953;6;10;22;16;;Tirol, Innsbruck;47,27;11,39;;5;4,16;0,46
1953;7;19;18;46;;Gargano;41,52;15,904;;4-5;4,55;0,16
1953;7;25;1;34;;Carnia;46,501;13,072;;4;4,4;0,2
1953;8;22;5;26;;Reggiano;44,787;10,795;;6;4,73;0,65
1953;10;25;21;24;;Carinthia, Greifenburg;46,75;13,18;;5;4,16;0,46
1953;12;14;7;11;6;Appennino forlivese;44,064;12,061;;5-6;4,7;0,12
1954;3;23;17;55;;Collestatte;42,569;12,727;;5;4,16;0,46
1954;4;25;22;17;19;Carnia;46,401;12,619;;5-6;4,54;0,17
1954;5;19;9;35;;Vallese;46,28;7,31;;6;5,3;0,35
1954;6;14;5;35;8;Vallese, Sion;46,306;7,339;;5;4,16;0,46
1954;7;16;0;5;;Appennino piacentino;44,648;9,585;;4;3,7;0,46
1954;7;29;4;40;27;Vallese, Sierre;46,3;7,5;;6;5;0,5
1954;8;6;19;21;12;Potentino;40,764;15,8;;5-6;5,18;0,14
1954;10;11;16;45;25;Friuli;46,211;13,119;;6;4,76;0,11
1954;10;24;12;9;;Tirol, Zirl;47,27;11,24;;5;4,16;0,46
1954;10;26;2;25;;Gargano;41,62;15,866;;4-5;4,72;0,15
1954;11;20;5;35;24;Sicilia centro-occidentale;37,924;13,093;;5-6;4,24;0,22
1955;2;1;4;25;;Etna - Pedara;37,618;15,061;;5-6;2,91;0,3
1955;2;2;5;0;;Etna - Pedara;37,63;15,066;;5-6;2,91;0,3
1955;2;2;18;43;;Tirol, Arzl/Pitztal;47,21;10,76;;5;4,16;0,46
1955;2;9;10;6;;Gargano;41,721;15,865;;6-7;5,05;0,12
1955;3;12;6;57;4;Parmense;44,798;10,173;;5;4,15;0,42
1955;3;18;6;49;37;Gargano;41,7;15,883;;;5,22;0,14
1955;4;11;15;24;;Liguria orientale;44,136;9,89;;5;4,07;0,28
1955;5;7;2;29;46;Val di Susa;45,106;7,315;;5;4,16;0,46
1955;5;12;14;15;;Cuneese;44,53;7,154;;6-7;4,66;0,15
1955;5;22;4;58;;Tirol, Innsbruck;47,266;11,393;;5-6;5,05;0,12
1955;6;20;4;47;;Cuneese;44,525;7,144;;6;4,77;0,14
1955;7;3;23;55;34;Golfo di Policastro;40,093;15,595;;5;4,19;0,3
1955;7;12;4;2;;Gargano;41,706;15,959;;5;4,16;0,46
1955;7;23;3;54;32;Prealpi Friulane;46,187;12,711;;5;4,49;0,13
1955;7;23;19;28;54,49;Prealpi Friulane;46,32;12,96;9;;4,44;0,22
1955;7;23;21;5;;Sila Greca;39,58;16,417;;6;4,64;0,64
1955;12;13;17;4;;Lunigiana;44,186;10,088;;5;4,53;0,19
1956;1;9;0;44;;Materano;40,57;16,366;;6;4,72;0,17
1956;1;31;2;25;33,8;Carniola interna;45,58;14,28;18;;5,03;0,16
1956;1;31;3;1;6;Carniola interna;45,55;14,28;;5;4,16;0,46
1956;1;31;3;58;17;Carniola interna;45,55;14,28;;5;4,16;0,46
1956;2;3;13;42;16;Carniola interna;45,55;14,28;;6;4,99;0,17
1956;2;7;1;50;;Beaufortain;45,709;6,4;;4;3,7;0,46
1956;2;20;1;29;26;Padovano;45,273;11,886;;5-6;4,49;0,21
1956;2;20;1;29;41;Argenta;44,621;11,982;;5-6;4,96;0,14
1956;2;22;22;55;6;Senese;43,298;11,28;;5;4,03;0,29
1956;3;8;11;3;30;Carniola interna;45,55;14,28;;6;4,97;0,19
1956;3;20;0;35;;Liguria occidentale;43,877;7,966;;4-5;3,93;0,46
1956;4;26;3;0;3;Appennino bolognese;44,209;11,33;;6;4,74;0,12
1956;5;10;12;30;;Carnia;46,404;12,928;;4-5;3,93;0,46
1956;5;26;18;40;;Appennino forlivese;43,939;11,897;;7;4,99;0,09
1956;5;29;16;21;;Appennino forlivese;43,95;11,817;;;4,59;0,23
1956;6;1;8;32;45;Alta Valle del Po;44,72;7,291;;5-6;4,3;0,2
1956;6;3;1;45;57;Appennino forlivese;44,003;11,876;;6;4,51;0,11
1956;8;17;10;39;;Gargano;41,709;15,683;;5-6;4,4;0,46
1956;9;22;3;19;39;Gargano;41,584;15,721;;6;4,64;0,14
1956;10;7;19;12;41;Aquilano;42,444;13,292;;5;4,46;0,5
1956;11;5;19;45;;Carnia;46,506;13,039;;6;5,04;0,14
1956;11;25;2;6;40;Isernino;41,572;14,399;;5;4,07;0,27
1957;3;3;9;27;;Etna - Zafferana Etnea;37,692;15,104;;6-7;3,47;0,33
1957;3;8;4;13;2;Liguria occidentale;43,793;7,785;;4;3,81;0,22
1957;3;12;16;20;;Valnerina;42,7;13,008;;5;4,16;0,14
1957;4;11;16;19;;Valle del Salto;42,256;13,079;;6;4,94;0,17
1957;4;17;2;22;;Appennino forlivese;43,937;11,942;;6;4,68;0,16
1957;4;17;8;40;37;Appennino forlivese;43,9;11,833;;;4,72;0,23
1957;4;30;6;5;8;Alta Valtiberina;43,733;12,013;;5;4,23;0,2
1957;5;3;3;29;34;Potentino;40,797;15,7;;5;4,09;0,23
1957;5;20;19;57;38,05;Tirreno meridionale;38,505;14,191;15;;5,19;0,13
1957;5;21;11;44;4;Tirreno meridionale;38,726;14,17;15;;5,3;0,14
1957;6;23;2;13;10;NW Rijeka;45,52;14,35;;5;4,16;0,46
1957;7;19;9;4;7;Valle Umbra;42,733;12,727;;6-7;4,58;0,2
1957;8;2;22;24;;Slovenia nord-occidentale;46,5;13,75;;5;4,16;0,46
1957;8;27;11;54;;Appennino modenese;44,395;10,995;;5;4,73;0,13
1957;9;1;17;53;24;NW Rijeka;45,5;14,28;;5;4,16;0,46
1957;10;19;6;14;;Potentino;40,577;15,646;;4;3,7;0,46
1957;10;25;23;2;5;Appennino reggiano;44,386;10,218;;5-6;4,27;0,16
1957;11;11;21;40;;Costa anconetana;43,483;13,581;;5;4,5;0,14
1957;12;6;4;54;;Orvietano;42,707;12,029;;7;4,97;0,16
1958;1;9;11;58;30;Monte Baldo;45,684;10,802;;5;4,16;0,46
1958;1;15;15;11;;Carinthia, Villacher Alpe;46,63;13,69;;5-6;4,4;0,46
1958;3;19;16;3;54;Carinthia;46,5;14,75;;6-7;4,86;0,46
1958;5;4;10;52;45;Cuneese;44,322;7,428;;6;4,62;0,16
1958;5;8;0;13;23;Valnerina;42,729;12,981;;5;4,25;0,6
1958;5;30;6;26;;Val di Paglia;42,896;11,769;;5;4,05;0,35
1958;6;24;6;7;;Aquilano;42,317;13,498;;7;5,04;0,07
1958;7;13;20;48;;Sila Piccola;39,005;16,61;;5-6;4,56;0,27
1958;9;30;8;45;;Tirol, Landeck;47,23;10,59;;6-7;4,86;0,46
1958;10;13;13;50;;Liguria occidentale;43,909;7,866;;4;3,7;0,46
1958;10;27;10;9;;Catanzarese;38,992;16,488;;5-6;4,59;0,21
1959;1;1;23;58;14;Teramano;42,699;13,674;;5;4,33;0,3
1959;1;26;5;35;40;Alta Val di Taro;44,422;9,624;;5;4,27;0,42
1959;3;11;0;15;;Appennino forlivese;43,959;12,064;;5;4,31;0,49
1959;3;24;10;24;;Fiorentino;43,698;11,297;;7;4,85;0,27
1959;4;5;10;48;;Ubaye;44,522;6,764;;7-8;5,39;0,07
1959;4;26;14;45;;Carnia;46,484;13,021;;7-8;5,21;0,07
1959;5;2;6;36;24;Alta Carniola;46,38;14,5;;5-6;4,4;0,46
1959;6;13;21;56;42,6;Carnia;46,44;12,8;12;;5,26;0,13
1959;7;17;13;16;;Ubaye;44,534;6,742;;5;4,38;0,29
1959;8;10;14;57;55;Tarentaise;45,483;6,5;;4-5;3,96;0,35
1959;11;4;5;3;25;Cuneese;44,483;7,276;;5;4,28;0,4
1959;11;14;20;38;;Etna - Zafferana Etnea;37,692;15,104;;6-7;3,47;0,33
1959;12;13;22;26;59;Alpes Niçoises;43,812;7,362;;5;4,16;0,43
1959;12;21;22;35;3;Liguria occidentale;43,869;7,525;;5;4,13;0,25
1959;12;23;9;29;;Piana di Catania;37,357;14,908;;6-7;5,11;0,15
1960;1;6;15;18;;Carnia;46,514;12,692;;6;4,64;0,12
1960;1;11;11;27;;Roccamonfina;41,283;13,986;;7-8;5,16;0,4
1960;1;28;14;34;19;Ubaye;44,55;6,739;;5;4,09;0,34
1960;2;6;12;0;30;Valle Umbra;42,98;12,652;;5;4,18;0,47
1960;2;17;15;32;50;Carniola interna;45,58;14,32;;6;4,63;0,46
1960;2;19;2;30;;Valli Giudicarie;45,806;10,625;;6;4,81;0,19
1960;2;24;1;51;;Appennino umbro-marchigiano;43,211;12,995;;5;4,32;0,33
1960;3;14;4;44;;Marsica;42,037;13,267;;7;4,72;0,27
1960;3;16;1;52;48;Monti della Laga;42,613;13,322;;5;4,44;0,16
1960;3;23;23;10;;Vallese;46,37;8,02;;7;5;0,2
1960;4;15;2;45;11;Montefeltro;43,708;12,297;;5-6;4,45;0,35
1960;4;16;1;15;;Isola di Stromboli;38,797;15,214;;6;4,63;0,46
1960;4;23;11;44;;Monti Martani;42,715;12,531;;6;4,66;0,43
1960;4;30;0;52;6;Appennino forlivese;44,02;11,852;;5;4,28;0,34
1960;7;12;14;8;;Monti Martani;42,726;12,498;;7-8;4,93;0,15
1960;7;14;4;18;;Carnia;46,41;13,011;;4;4,4;0,2
1960;7;18;4;7;;Ternano;42,578;12,564;;6-7;4,53;0,17
1960;7;20;23;9;;Ternano;42,535;12,571;;7;4,67;0,14
1960;7;25;6;18;;Etna - Zafferana Etnea;37,691;15,101;;6-7;3,47;0,33
1960;10;29;0;8;39;Mugello;43,999;11,385;;7;4,91;0,11
1960;12;6;1;26;22;Embrunais;44,645;6,639;;5;3,93;0,34
1960;12;8;5;38;9;Montefeltro;43,753;12,566;;5;4,16;0,46
1961;1;17;1;51;57;Vallese, Val d'Hérens;46,033;7,467;;5-6;4,3;0,5
1961;3;15;1;50;;Val Venosta;46,626;10,703;;5;4,24;0,35
1961;3;23;1;1;;Bacino di Gubbio;43,362;12,544;;7;4,96;0,38
1961;3;24;10;36;;Calabria meridionale;38,174;15,654;;5-6;4,62;0,21
1961;4;6;11;34;42;Val Roveto;41,986;13,378;;6;4,55;0,5
1961;4;10;6;56;;Alto Aniene;42,02;13,037;;6;4,55;0,34
1961;4;12;0;44;;Alto Aniene;42,026;13,049;;6-7;4,62;0,17
1961;5;8;22;45;51;Forlivese;44,134;11,962;;5;4,37;0,13
1961;8;3;10;26;29;Lunigiana;44,18;10,199;;5;4,18;0,32
1961;8;9;13;;;Val Monastero;46,81;10,35;;5;4,9;0,5
1961;8;13;22;34;18;Parmense;44,739;10,229;;5-6;4,37;0,25
1961;8;14;1;3;2;Parmense;44,812;10,153;;5-6;4,47;0,39
1961;8;25;12;22;;Tirol, Stanzach/Lechta;47,38;10,56;;5-6;4,4;0,46
1961;10;31;13;37;;Reatino;42,407;13,064;;8;5,09;0,11
1961;11;23;1;12;5;Prealpi bergamasche;45,76;9,589;;6-7;4,86;0,11
1962;1;19;5;1;25;Gargano;41,679;15,717;;5;4,42;0,22
1962;1;23;17;31;;Costa pesarese;43,921;12,806;;5;4,35;0,19
1962;5;11;1;5;31;Appennino bolognese;44,168;11,176;;5-6;4,69;0,13
1962;6;25;16;35;50;Valnerina;42,833;13,05;;;4,07;0,25
1962;8;21;18;9;6,35;Irpinia;41,248;15,069;20;;5,68;0,14
1962;8;21;18;19;;Irpinia;41,23;14,953;;9;6,15;0,08
1962;8;21;18;44;56,15;Irpinia;41,158;15,065;20;;5,34;0,16
1962;8;30;6;27;7;Montefeltro;43,877;12,144;;6-7;4,76;0,16
1962;8;30;12;10;;Valnerina;42,734;12,989;;7;5,02;0,24
1962;9;16;14;49;45;Chianti;43,545;11,35;;6;4,54;0,16
1962;10;5;23;0;43;Appennino maceratese;43,159;13,197;;5-6;4,35;0,4
1962;10;20;9;27;;Valle Umbra;42,751;12,706;;7-8;5,34;0,65
1962;12;14;13;35;;Alvito;41,689;13,743;;5-6;4,4;0,46
1963;1;8;13;51;;Appennino reggiano;44,358;10,299;;5;4,16;0,46
1963;1;14;20;22;9;Alpi Giulie;46,44;13,571;;6;4,63;0,46
1963;1;25;5;27;;Monti Sibillini;43,036;13,181;;5;4,31;0,28
1963;2;2;19;34;;Reatino;42,397;13,038;;6;4,64;0,46
1963;2;3;10;5;;Pietralunga;43,442;12,436;;4;3,7;0,46
1963;2;4;15;;;Calabritto;40,786;15,218;;5-6;4,4;0,46
1963;2;13;12;45;;Potentino;40,658;15,782;;7;5,19;0,14
1963;3;4;22;30;;Veronese;45,419;11,121;;5;4,41;0,57
1963;4;5;13;49;42;Finale Emilia;44,826;11,265;;4-5;3,93;0,46
1963;5;19;10;0;5;Slovenia centrale;46,1;14,8;;7;5,1;0,46
1963;5;19;22;45;;Valnerina;42,786;13,035;;6;4,74;0,45
1963;6;13;8;37;40;Isole Eolie;38,566;14,825;;6;4,67;0,16
1963;6;27;0;11;42;Briançonnais;44,892;6,596;;5;3,89;0,37
1963;7;19;5;45;26,5;Mar Ligure;43,33;8,11;20;;;
1963;7;19;5;46;1,5;Mar Ligure;43,34;8,12;;;5,95;0,15
1963;7;21;11;9;;Monti della Laga;42,622;13,323;;7;4,71;0,16
1963;7;27;5;58;22;Mar Ligure;43,56;8,13;14;;4,98;0,24
1963;8;9;6;5;;Romagna;44,416;11,977;;5;5,23;0,12
1963;9;2;0;24;5;Monti Cimini;42,383;12,259;;6;4,47;0,29
1963;9;30;22;25;;Ionio meridionale;37,5;15,8;;;5,05;0,24
1963;10;5;11;57;39;Appennino reggiano;44,32;10,296;;4;3,7;0,46
1963;11;4;15;46;;Bassa modenese;44,681;10,873;;5;4,16;0,46
1963;11;12;8;22;33;Valle del Crati;39,565;16,268;;5;4,31;0,36
1963;11;15;5;15;46;Slovenia centrale;46,06;14,78;;6;4,63;0,46
1964;2;18;6;58;28;Irpinia;41,146;15,049;;5-6;4,44;0,28
1964;3;18;16;43;20,79;Carso;45,59;14,3;13;;4,36;0,25
1964;5;2;11;32;;Monti Iblei;36,976;14,957;;5;4,2;0,34
1964;5;21;7;29;42;Fabriano;43,335;12,905;;4;3,7;0,46
1964;5;28;20;52;3;Grigioni, Trun;46,683;9,033;;5;4,3;0,5
1964;6;4;0;31;59;Vallo di Diano;40,348;15,678;;5-6;4,59;0,28
1964;6;23;6;38;49;Adriatico centrale;43,5;14,5;;;4,68;0,48
1964;8;2;10;40;;Valnerina;42,835;13,036;;6;4,53;0,21
1964;9;5;21;9;;Appennino tosco-emiliano;44,138;11,233;;5;4,35;0,2
1964;10;4;1;46;50,4;Tirreno meridionale;39,12;15,45;242;;4,26;0,25
1965;1;4;12;;;Carnia;46,384;12,883;;4;3,7;0,46
1965;3;13;20;22;48;Alpes Niçoises;44,06;7,133;;5;4,18;0,3
1965;4;12;13;6;38,4;Tirreno meridionale;39,1;14,1;53;;4,36;0,44
1965;4;19;2;27;4,4;Dolomiti Friulane;46,28;12,59;4;;;
1965;5;10;5;1;54;Appennino reggiano;44,297;10,201;;4-5;4,29;0,24
1965;5;29;13;39;46;Valle Umbra;42,894;12,752;;6-7;4,32;0,32
1965;5;31;9;22;17;Valle Umbra;42,929;12,693;;5-6;4,48;0,32
1965;5;31;11;15;35;Valnerina;42,7;13;;;4,57;0,47
1965;7;8;23;20;1,6;Tirol, Innsbruck;47,33;11,3;3;;4,26;0,27
1965;7;23;23;14;25;Lunigiana;44,377;9,882;;5;4,16;0,46
1965;8;4;11;49;53;Alta Valtiberina;43,695;12,112;;5;4,48;0,15
1965;8;19;19;14;25;Prealpi Friulane;46,278;12,999;;3-4;4,83;0,22
1965;8;19;19;41;56,7;Prealpi Friulane;46,29;12,95;8;;;
1965;10;1;18;38;30;Cosentino;39,393;16,217;;4-5;3,93;0,46
1965;10;24;12;16;57;Vallese, Sion;46,3;7,4;;5;4,4;0,5
1965;11;9;15;35;;Appennino reggiano;44,373;10,355;;5;4,17;0,2
1965;11;12;7;16;56;Marsica;42,1;13,5;;;4,39;0,27
1965;12;18;9;22;25;Pianura romagnola;44,27;12,021;;5;4,54;0,2
1966;1;23;1;31;29;Alpago Cansiglio;45,947;12,323;;4-5;4,02;0,29
1966;2;2;2;25;22,09;Dolomiti Friulane;46,32;12,77;6;;;
1966;4;7;19;38;59;Cuneese;44,243;7,408;;6;4,51;0,11
1966;6;19;4;12;11;Ljubljana;46,1;14,2;;4-5;4,07;0,41
1966;7;6;4;24;;Alta Murgia;40,956;16,194;;4;4,26;0,17
1966;7;10;13;30;13,09;Alpi Giulie;46,4;13,45;1;;;
1966;10;4;4;51;51;Potentino;40,65;15,731;;5;4,16;0,46
1966;10;16;9;48;29;Valle del Liri;41,66;13,572;;5;4,18;0,25
1966;10;20;9;38;35,4;Romagna;44,13;12,27;48;;4,36;0,25
1967;1;5;16;35;1;Faucigny;46,116;6,495;;4;3,89;0,31
1967;2;14;14;42;26,2;Isole Eolie;38,45;15,06;258;;4,26;0,25
1967;4;3;16;36;18;Reggiano;44,73;10,602;;5;4,44;0,18
1967;4;12;18;34;20;Vallese;46,3;7,2;;;4,36;0,44
1967;5;15;10;3;34;Appennino reggiano;44,435;10,4;;4;4,07;0,26
1967;6;17;15;42;58;Gargano;41,594;15,79;;5;4,46;0,22
1967;8;14;10;16;18;Bassa Engadina, Samnaun;46,95;10,35;;5;3,9;0,5
1967;8;15;7;6;30,3;Tirreno meridionale;38,71;15,28;2;;4,57;0,21
1967;9;7;14;9;3,6;Sicilia orientale;37,85;15,24;53;;4,36;0,25
1967;10;1;22;45;45;Pistoiese;43,922;11,017;;4;4,04;0,22
1967;10;2;20;13;3;Terelle;41,511;13,715;;5-6;4,45;0,21
1967;10;5;22;49;;Teano;41,249;14,043;;6-7;4,86;0,46
1967;10;8;15;27;15;Friburgo;46,5;7,1;;;4,46;0,45
1967;10;31;21;8;7;Monti Nebrodi;37,862;14,413;;8;5,33;0,14
1967;12;3;19;49;46;Aquilano;42,4;13,2;59;;4,46;0,29
1967;12;3;21;29;59;Aquilano;42,312;13,512;;5;4,37;0,14
1967;12;9;3;9;56;Adriatico centrale;42;16,41;66;;4,36;0,23
1967;12;30;4;19;;Emilia Romagna orientale;44,604;11,997;;6;5,05;0,15
1968;1;4;10;23;;Sabina;42,341;12,627;;6;4,53;0,2
1968;1;11;17;8;9;Pianura romagnola;44,279;11,909;;4;4,44;0,24
1968;1;14;12;28;24;Valle del Belice;37,85;13,02;20;6-7;5,1;0,23
1968;1;14;13;15;42;Valle del Belice;37,68;12,96;1;;4,9;0,24
1968;1;14;15;48;33,3;Valle del Belice;37,9;13,03;38;7;4,83;0,17
1968;1;15;1;33;2;Valle del Belice;37,756;12,995;;8;5,37;0,18
1968;1;15;2;1;9;Valle del Belice;37,756;12,981;;10;6,41;0,09
1968;1;15;3;18;41,5;Valle del Belice;37,86;13,03;38;;4,57;0,22
1968;1;15;13;42;3;Valle del Belice;37,78;12,92;16;;5,53;0,59
1968;1;15;14;59;43;Valle del Belice;37,6;13,1;;;4,79;0,31
1968;1;15;18;22;53;Valle del Belice;37,73;13,01;25;;4,46;0,45
1968;1;15;22;19;57;Valle del Belice;37,72;12,94;35;;4,79;0,26
1968;1;16;0;54;5;Valle del Belice;37,66;12,88;14;;4,79;0,26
1968;1;16;13;10;32,3;Valle del Belice;37,78;12,93;33;;4,57;0,35
1968;1;16;16;42;46;Valle del Belice;37,86;12,99;25;8;5,47;0,15
1968;1;21;2;39;3;Castellammare del Golfo;37,98;12,9;2;;4,36;0,25
1968;1;25;9;56;46;Valle del Belice;37,71;13,06;4;8;5,37;0,15
1968;1;25;10;4;20,3;Valle del Belice;37,9;12,9;33;;4,26;0,27
1968;1;25;14;35;32;Valle del Belice;37,78;12,94;23;;4,46;0,24
1968;1;26;8;2;18;Valle del Belice;37,69;12,83;25;;4,79;0,22
1968;1;29;3;14;47;Ancona;43,619;13,513;;5;4,16;0,46
1968;2;5;11;17;40,1;Castellammare del Golfo;37,99;12,8;33;;4,36;0,23
1968;2;12;10;18;50;Ionio settentrionale;37,96;17,87;10;;5,4;0,21
1968;2;12;16;26;4;Valle del Belice;37,86;12,98;27;6;4,66;0,19
1968;3;4;23;37;54;Valle del Belice;37,7;12,9;;;4,46;0,45
1968;3;22;19;29;58;Basilicata meridionale;40,086;15,871;;5;4,21;0,31
1968;4;18;19;38;15;Liguria occidentale;44,051;8,037;;7-8;4,93;0,14
1968;4;21;21;9;48;Tirreno meridionale;39,82;14,88;320;;4,26;0,2
1968;5;19;9;37;32;Tirreno meridionale;38,52;14,82;39;;4,9;0,21
1968;6;7;9;34;46;Parmense;44,75;10,32;25;;;
1968;6;16;13;3;22;Monti Nebrodi;37,78;14,65;23;;5,15;0,4
1968;6;18;5;27;;Valle d'Aosta;45,684;7,768;;6;4,86;0,13
1968;6;22;12;21;37;Val Lagarina;45,879;10,996;;6-7;4,74;0,16
1968;6;22;12;37;49,34;Val Lagarina;45,84;11,21;19;;4,07;0,26
1968;6;26;3;15;;Senese;43,298;11,28;;5;4,19;0,57
1968;6;27;15;43;40;Chablais;46,317;6,761;;6;4,6;0,3
1968;7;17;19;11;10;Calabria centrale;38,625;16,129;;5;4,3;0,27
1968;8;16;21;33;47;Alta Carniola;46,3;14,1;;6;4,63;0,46
1968;8;19;0;36;43;Chablais;46,327;6,723;;7;4,7;0,3
1968;9;1;5;2;38;Valle del Belice;37,686;12,887;;5-6;4,61;0,35
1968;9;7;16;49;57;Savonese;44,201;8,361;;5;4,39;0,41
1968;9;17;12;16;37,8;Adriatico settentrionale;45,36;12,77;18;;4,16;0,42
1968;10;1;16;31;3,2;Campania meridionale;40,19;15,39;295;;4,36;0,21
1968;11;21;22;50;3;Chablais;46,283;6,717;;5;4,32;0,34
1969;1;6;22;3;28;Appennino pistoiese;44,049;10,727;;6-7;4,67;0,13
1969;1;10;16;17;32;Pianura Ravennate;44,39;11,983;;5;4,38;0,2
1969;2;15;8;54;39;Mugello;44,057;11,367;;4-5;4,56;0,2
1969;3;29;1;43;38,7;Tirreno centrale;40,04;15,1;310;;4,68;0,19
1969;4;2;1;38;2,2;Tirreno meridionale;38,98;15,24;263;;4,79;0,18
1969;4;17;9;12;;Terelle;41,55;13,789;;6-7;4,59;0,19
1969;5;21;9;3;58;Cilento;40,294;15,004;;5;4,19;0,24
1969;6;24;13;25;18;Parmense;44,731;10,139;;5;4,21;0,28
1969;7;2;7;55;;Monti della Tolfa;42,168;12,002;;7;4,77;0,12
1969;7;2;8;2;57;Monti della Tolfa;42;11,8;33;;4,46;0,45
1969;7;2;10;31;21;Calabria settentrionale;39,51;16,64;17;;4,57;0,47
1969;8;9;9;20;57;Appennino tosco-romagnolo;43,76;11,962;;5;4,2;0,18
1969;8;11;13;55;;Lago Trasimeno;43,036;12,227;;7;4,7;0,15
1969;9;26;23;40;39;Teramano;42,707;13,567;;5;4,39;0,11
